name,LeidenCluster,UniAcc,RES,POS,UniModID,Gene
Q93100|701|S|21,42,Q93100,S,701,21,PHKB
Q7Z309|137|S|21,42,Q7Z309,S,137,21,PABIR2
P08575|973|R|7,42,P08575,R,973,7,PTPRC
Q9Y618|1778|S|21,42,Q9Y618,S,1778,21,NCOR2
Q15435|24|S|21,42,Q15435,S,24,21,PPP1R7
O60885|598|T|21,42,O60885,T,598,21,BRD4
Q9C0B5|305|S|21,42,Q9C0B5,S,305,21,ZDHHC5
Q9C0B5|299|S|21,42,Q9C0B5,S,299,21,ZDHHC5
P08651|470|S|21,42,P08651,S,470,21,NFIC
Q15154|93|S|21,42,Q15154,S,93,21,PCM1
Q15435|36|S|21,42,Q15435,S,36,21,PPP1R7
Q6JBY9|284|S|21,42,Q6JBY9,S,284,21,RCSD1
Q9C0B5|307|S|21,42,Q9C0B5,S,307,21,ZDHHC5
P08651|477|S|21,42,P08651,S,477,21,NFIC
P08651|475|S|21,42,P08651,S,475,21,NFIC
P02545|619|S|21,42,P02545,S,619,21,LMNA
P41212|30|S|21,42,P41212,S,30,21,ETV6
Q9BQE9|107|S|21,42,Q9BQE9,S,107,21,BCL7B
Q9BQE9|114|S|21,42,Q9BQE9,S,114,21,BCL7B
Q9UI08|354|S|21,42,Q9UI08,S,354,21,EVL
Q93100|704|S|21,42,Q93100,S,704,21,PHKB
Q15435|37|S|21,42,Q15435,S,37,21,PPP1R7
Q9BQE9|111|S|21,42,Q9BQE9,S,111,21,BCL7B
P08651|473|S|21,42,P08651,S,473,21,NFIC
Q9BQE9|108|S|21,42,Q9BQE9,S,108,21,BCL7B
Q27J81|1148|T|21,42,Q27J81,T,1148,21,INF2
Q9BQE9|120|S|21,42,Q9BQE9,S,120,21,BCL7B
Q9C0B5|296|S|21,42,Q9C0B5,S,296,21,ZDHHC5
Q15435|27|S|21,42,Q15435,S,27,21,PPP1R7
Q02880|1473|S|21,42,Q02880,S,1473,21,TOP2B
P41212|26|S|21,42,P41212,S,26,21,ETV6
Q9UI08|349|S|21,42,Q9UI08,S,349,21,EVL
P49790|182|S|21,42,P49790,S,182,21,NUP153
Q9BQE9|118|S|21,42,Q9BQE9,S,118,21,BCL7B
Q9UKJ3|1107|S|21,42,Q9UKJ3,S,1107,21,GPATCH8
Q9BQE9|112|S|21,42,Q9BQE9,S,112,21,BCL7B
Q9BQE9|109|T|21,42,Q9BQE9,T,109,21,BCL7B
Q32MZ4|124|S|21,42,Q32MZ4,S,124,21,LRRFIP1
P54253|238|S|21,42,P54253,S,238,21,ATXN1
Q9UBW5|458|S|21,42,Q9UBW5,S,458,21,BIN2
P41212|29|S|21,42,P41212,S,29,21,ETV6
P54253|253|S|21,42,P54253,S,253,21,ATXN1
