name,LeidenCluster,UniAcc,RES,POS,UniModID,Gene
Q9P206|669|S|21,7,Q9P206,S,669,21,NHSL3
Q9Y5K6|458|S|21,7,Q9Y5K6,S,458,21,CD2AP
Q09666|135|S|21,7,Q09666,S,135,21,AHNAK
P02545|22|S|21,7,P02545,S,22,21,LMNA
Q09666|93|S|21,7,Q09666,S,93,21,AHNAK
O95359|2321|S|21,7,O95359,S,2321,21,TACC2
O60716|920|S|21,7,O60716,S,920,21,CTNND1
Q08J23|743|S|21,7,Q08J23,S,743,21,NSUN2
Q92598|809|S|21,7,Q92598,S,809,21,HSPH1
O75419|151|S|21,7,O75419,S,151,21,CDC45
O95359|2317|S|21,7,O95359,S,2317,21,TACC2
Q9UQ35|1083|S|21,7,Q9UQ35,S,1083,21,SRRM2
Q92530|153|S|21,7,Q92530,S,153,21,PSMF1
P00558|203|S|21,7,P00558,S,203,21,PGK1
Q58FG0|78|S|21,7,Q58FG0,S,78,21,HSP90AA5P
O15027|569|S|21,7,O15027,S,569,21,SEC16A
Q8IYB3|450|S|21,7,Q8IYB3,S,450,21,SRRM1
Q9P2M7|135|S|21,7,Q9P2M7,S,135,21,CGN
P16949|31|S|21,7,P16949,S,31,21,STMN1
Q9H1B7|662|S|21,7,Q9H1B7,S,662,21,IRF2BPL
P47712|435|S|21,7,P47712,S,435,21,PLA2G4A
O60716|252|S|21,7,O60716,S,252,21,CTNND1
Q9UDY2|978|S|21,7,Q9UDY2,S,978,21,TJP2
Q92614|2041|S|21,7,Q92614,S,2041,21,MYO18A
P47712|437|S|21,7,P47712,S,437,21,PLA2G4A
O43768|67|S|21,7,O43768,S,67,21,ENSA
Q9H1E3|214|S|21,7,Q9H1E3,S,214,21,NUCKS1
Q58FG0|89|S|21,7,Q58FG0,S,89,21,HSP90AA5P
Q5T8P6|127|S|21,7,Q5T8P6,S,127,21,RBM26
Q04724|286|S|21,7,Q04724,S,286,21,TLE1
P51397|3|S|21,7,P51397,S,3,21,DAP
P21333|1459|S|21,7,P21333,S,1459,21,FLNA
O95251|99|S|21,7,O95251,S,99,21,KAT7
Q01105|7|S|21,7,Q01105,S,7,21,SET
P51397|2|S|21,7,P51397,S,2,21,DAP
Q8IYB3|874|S|21,7,Q8IYB3,S,874,21,SRRM1
P18583|1555|T|21,7,P18583,T,1555,21,SON
Q09666|5839|T|21,7,Q09666,T,5839,21,AHNAK
P29966|46|S|21,7,P29966,S,46,21,MARCKS
Q8IYB3|452|S|21,7,Q8IYB3,S,452,21,SRRM1
P02545|406|S|21,7,P02545,S,406,21,LMNA
P49023|118|Y|21,7,P49023,Y,118,21,PXN
Q9UQ35|1177|T|21,7,Q9UQ35,T,1177,21,SRRM2
Q9P2M7|140|S|21,7,Q9P2M7,S,140,21,CGN
P07910|233|S|21,7,P07910,S,233,21,HNRNPC
Q8WWI1|1423|S|21,7,Q8WWI1,S,1423,21,LMO7
P05783|36|Y|21,7,P05783,Y,36,21,KRT18
Q12906|382|S|21,7,Q12906,S,382,21,ILF3
P05783|31|S|21,7,P05783,S,31,21,KRT18
Q14258|100|S|21,7,Q14258,S,100,21,TRIM25
Q9UDY2|986|S|21,7,Q9UDY2,S,986,21,TJP2
Q9H6F5|18|S|21,7,Q9H6F5,S,18,21,CCDC86
O95251|102|S|21,7,O95251,S,102,21,KAT7
O95251|100|S|21,7,O95251,S,100,21,KAT7
Q9Y365|284|S|21,7,Q9Y365,S,284,21,STARD10
Q9H0D6|501|S|21,7,Q9H0D6,S,501,21,XRN2
Q07666|18|S|21,7,Q07666,S,18,21,KHDRBS1
Q9UHR4|255|S|21,7,Q9UHR4,S,255,21,BAIAP2L1
O95218|188|S|21,7,O95218,S,188,21,ZRANB2
Q14157|471|S|21,7,Q14157,S,471,21,UBAP2L
Q01518|301|S|21,7,Q01518,S,301,21,CAP1
O60832|494|S|21,7,O60832,S,494,21,DKC1
