name,LeidenCluster,UniAcc,RES,POS,UniModID,Gene
Q86UU0|21|S|21,15,Q86UU0,S,21,21,BCL9L
Q9Y618|956|S|21,15,Q9Y618,S,956,21,NCOR2
Q96HC4|111|S|21,15,Q96HC4,S,111,21,PDLIM5
Q92934|99|S|21,15,Q92934,S,99,21,BAD
Q13153|220|S|21,15,Q13153,S,220,21,PAK1
Q86UU1|443|S|21,15,Q86UU1,S,443,21,PHLDB1
O95817|279|S|21,15,O95817,S,279,21,BAG3
Q9Y2W1|682|S|21,15,Q9Y2W1,S,682,21,THRAP3
Q5T200|877|S|21,15,Q5T200,S,877,21,ZC3H13
Q6ZRV2|924|S|21,15,Q6ZRV2,S,924,21,FAM83H
Q5T0N5|295|S|21,15,Q5T0N5,S,295,21,FNBP1L
Q9C0C2|691|S|21,15,Q9C0C2,S,691,21,TNKS1BP1
O14639|706|S|21,15,O14639,S,706,21,ABLIM1
Q8IVT2|395|S|21,15,Q8IVT2,S,395,21,MISP
P46821|1965|S|21,15,P46821,S,1965,21,MAP1B
Q13428|1228|S|21,15,Q13428,S,1228,21,TCOF1
Q8N0Y7|118|S|21,15,Q8N0Y7,S,118,21,PGAM4
O95817|284|S|21,15,O95817,S,284,21,BAG3
Q9BST9|520|S|21,15,Q9BST9,S,520,21,RTKN
Q09666|177|S|21,15,Q09666,S,177,21,AHNAK
Q9UN86|226|T|21,15,Q9UN86,T,226,21,G3BP2
Q09666|5833|K|34,15,Q09666,K,5833,34,AHNAK
Q9NYF8|658|S|21,15,Q9NYF8,S,658,21,BCLAF1
Q9NVD7|19|S|21,15,Q9NVD7,S,19,21,PARVA
Q13541|65|S|21,15,Q13541,S,65,21,EIF4EBP1
Q00341|31|S|21,15,Q00341,S,31,21,HDLBP
Q14157|609|S|21,15,Q14157,S,609,21,UBAP2L
Q09666|216|S|21,15,Q09666,S,216,21,AHNAK
Q9UQB8|365|S|21,15,Q9UQB8,S,365,21,BAIAP2
Q9UHB6|373|S|21,15,Q9UHB6,S,373,21,LIMA1
Q9UKV3|1004|S|21,15,Q9UKV3,S,1004,21,ACIN1
O14974|443|T|21,15,O14974,T,443,21,PPP1R12A
Q16643|142|S|21,15,Q16643,S,142,21,DBN1
O95817|283|S|21,15,O95817,S,283,21,BAG3
O60885|601|S|21,15,O60885,S,601,21,BRD4
Q9Y5B6|558|S|21,15,Q9Y5B6,S,558,21,PAXBP1
Q8IVT2|397|S|21,15,Q8IVT2,S,397,21,MISP
Q96EV2|765|S|21,15,Q96EV2,S,765,21,RBM33
Q7Z5L9|360|S|21,15,Q7Z5L9,S,360,21,IRF2BP2
P35611|358|S|21,15,P35611,S,358,21,ADD1
Q96T37|568|T|21,15,Q96T37,T,568,21,RBM15
Q6ZRV2|925|S|21,15,Q6ZRV2,S,925,21,FAM83H
Q8N9T8|639|S|21,15,Q8N9T8,S,639,21,KRI1
P10398|580|S|21,15,P10398,S,580,21,ARAF
Q9Y5B6|557|S|21,15,Q9Y5B6,S,557,21,PAXBP1
P16949|38|S|21,15,P16949,S,38,21,STMN1
O60716|268|S|21,15,O60716,S,268,21,CTNND1
Q5VT52|593|S|21,15,Q5VT52,S,593,21,RPRD2
P04637|315|S|21,15,P04637,S,315,21,TP53
Q32MZ4|120|S|21,15,Q32MZ4,S,120,21,LRRFIP1
P38159|208|S|21,15,P38159,S,208,21,RBMX
Q15054|307|S|21,15,Q15054,S,307,21,POLD3
Q9H2U2|317|S|21,15,Q9H2U2,S,317,21,PPA2
P49023|85|S|21,15,P49023,S,85,21,PXN
Q9H2P0|921|S|21,15,Q9H2P0,S,921,21,ADNP
Q5T200|873|S|21,15,Q5T200,S,873,21,ZC3H13
Q8TAQ2|347|S|21,15,Q8TAQ2,S,347,21,SMARCC2
P28290|739|S|21,15,P28290,S,739,21,ITPRID2
Q9UKM9|135|S|21,15,Q9UKM9,S,135,21,RALY
Q53EL6|94|S|21,15,Q53EL6,S,94,21,PDCD4
Q9Y4F1|427|S|21,15,Q9Y4F1,S,427,21,FARP1
O14545|415|S|21,15,O14545,S,415,21,TRAFD1
