name,LeidenCluster,UniAcc,RES,POS,UniModID,Gene
Q96RL1|653|S|21,10,Q96RL1,S,653,21,UIMC1
P19634|796|S|21,10,P19634,S,796,21,SLC9A1
Q9UPU5|2561|S|21,10,Q9UPU5,S,2561,21,USP24
P85037|422|T|21,10,P85037,T,422,21,FOXK1
O14974|696|T|21,10,O14974,T,696,21,PPP1R12A
O15047|508|S|21,10,O15047,S,508,21,SETD1A
Q8NCY6|100|S|21,10,Q8NCY6,S,100,21,MSANTD4
P16383|429|S|21,10,P16383,S,429,21,GCFC2
P31689|335|S|21,10,P31689,S,335,21,DNAJA1
Q5VUA4|207|S|21,10,Q5VUA4,S,207,21,ZNF318
Q14161|418|S|21,10,Q14161,S,418,21,GIT2
Q96AD5|407|S|21,10,Q96AD5,S,407,21,PNPLA2
Q96FZ2|295|S|21,10,Q96FZ2,S,295,21,HMCES
Q14938|288|S|21,10,Q14938,S,288,21,NFIX
Q8NCY6|106|S|21,10,Q8NCY6,S,106,21,MSANTD4
P15056|446|S|21,10,P15056,S,446,21,BRAF
Q13796|231|S|21,10,Q13796,S,231,21,SHROOM2
Q9BUR4|90|S|21,10,Q9BUR4,S,90,21,WRAP53
P09651|341|Y|21,10,P09651,Y,341,21,HNRNPA1
Q9UPQ0|472|T|21,10,Q9UPQ0,T,472,21,LIMCH1
Q6PJG2|661|S|21,10,Q6PJG2,S,661,21,MIDEAS
Q8IV63|82|S|21,10,Q8IV63,S,82,21,VRK3
P49841|9|S|21,10,P49841,S,9,21,GSK3B
O75592|2871|S|21,10,O75592,S,2871,21,MYCBP2
Q6KC79|318|S|21,10,Q6KC79,S,318,21,NIPBL
Q6WKZ4|501|S|21,10,Q6WKZ4,S,501,21,RAB11FIP1
P46821|1932|T|21,10,P46821,T,1932,21,MAP1B
Q9Y2X3|350|T|21,10,Q9Y2X3,T,350,21,NOP58
Q14004|664|S|21,10,Q14004,S,664,21,CDK13
Q5VT52|374|S|21,10,Q5VT52,S,374,21,RPRD2
Q13796|230|S|21,10,Q13796,S,230,21,SHROOM2
P15924|2608|S|21,10,P15924,S,2608,21,DSP
Q9UK61|927|S|21,10,Q9UK61,S,927,21,TASOR
Q14676|411|S|21,10,Q14676,S,411,21,MDC1
O60716|288|S|21,10,O60716,S,288,21,CTNND1
Q96SB3|192|S|21,10,Q96SB3,S,192,21,PPP1R9B
P50851|1133|S|21,10,P50851,S,1133,21,LRBA
P15153|107|S|21,10,P15153,S,107,21,RAC2
Q05639|291|S|21,10,Q05639,S,291,21,EEF1A2
Q05655|658|S|21,10,Q05655,S,658,21,PRKCD
Q9BRJ6|175|S|21,10,Q9BRJ6,S,175,21,CHLSN
P52272|633|S|21,10,P52272,S,633,21,HNRNPM
Q8TBP0|228|S|21,10,Q8TBP0,S,228,21,TBC1D16
P20962|4|K|1,10,P20962,K,4,1,PTMS
Q6ZN18|15|S|21,10,Q6ZN18,S,15,21,AEBP2
O43379|1232|S|21,10,O43379,S,1232,21,WDR62
P54105|90|S|21,10,P54105,S,90,21,CLNS1A
Q14938|284|S|21,10,Q14938,S,284,21,NFIX
P27797|195|S|21,10,P27797,S,195,21,CALR
Q15084|428|S|21,10,Q15084,S,428,21,PDIA6
Q7Z417|652|S|21,10,Q7Z417,S,652,21,NUFIP2
Q13428|153|S|21,10,Q13428,S,153,21,TCOF1
Q9NPF5|445|T|21,10,Q9NPF5,T,445,21,DMAP1
Q9UPQ0|471|S|21,10,Q9UPQ0,S,471,21,LIMCH1
P51003|522|S|21,10,P51003,S,522,21,PAPOLA
Q8NBN3|540|S|21,10,Q8NBN3,S,540,21,TMEM87A
P46100|634|S|21,10,P46100,S,634,21,ATRX
Q05519|207|S|21,10,Q05519,S,207,21,SRSF11
P27816|636|S|21,10,P27816,S,636,21,MAP4
Q68E01|502|S|21,10,Q68E01,S,502,21,INTS3
Q7Z2W4|280|S|21,10,Q7Z2W4,S,280,21,ZC3HAV1
Q9UHR5|113|S|21,10,Q9UHR5,S,113,21,SAP30BP
P49841|13|S|21,10,P49841,S,13,21,GSK3B
Q9UHR4|331|S|21,10,Q9UHR4,S,331,21,BAIAP2L1
P19338|496|S|21,10,P19338,S,496,21,NCL
Q86XP3|111|S|21,10,Q86XP3,S,111,21,DDX42
Q14161|415|S|21,10,Q14161,S,415,21,GIT2
Q6P2E9|741|S|21,10,Q6P2E9,S,741,21,EDC4
P40818|719|S|21,10,P40818,S,719,21,USP8
Q9UER7|671|S|21,10,Q9UER7,S,671,21,DAXX
Q6WKZ4|156|S|21,10,Q6WKZ4,S,156,21,RAB11FIP1
Q8NDX5|761|S|21,10,Q8NDX5,S,761,21,PHC3
Q96B36|183|S|21,10,Q96B36,S,183,21,AKT1S1
Q13428|906|S|21,10,Q13428,S,906,21,TCOF1
Q58WW2|657|S|21,10,Q58WW2,S,657,21,DCAF6
Q9BQA1|5|T|21,10,Q9BQA1,T,5,21,WDR77
Q8WX93|1101|S|21,10,Q8WX93,S,1101,21,PALLD
Q6WKZ4|500|S|21,10,Q6WKZ4,S,500,21,RAB11FIP1
Q14938|280|S|21,10,Q14938,S,280,21,NFIX
Q8IV63|78|S|21,10,Q8IV63,S,78,21,VRK3
O60825|468|T|21,10,O60825,T,468,21,PFKFB2
Q6P2E9|737|S|21,10,Q6P2E9,S,737,21,EDC4
O15164|768|S|21,10,O15164,S,768,21,TRIM24
P40818|718|S|21,10,P40818,S,718,21,USP8
Q96FZ2|293|T|21,10,Q96FZ2,T,293,21,HMCES
O15164|770|S|21,10,O15164,S,770,21,TRIM24
Q96AD5|404|S|21,10,Q96AD5,S,404,21,PNPLA2
P16383|430|S|21,10,P16383,S,430,21,GCFC2
P08670|56|S|21,10,P08670,S,56,21,VIM
Q01130|22|T|21,10,Q01130,T,22,21,SRSF2
Q9NR19|30|S|21,10,Q9NR19,S,30,21,ACSS2
P15924|2606|S|21,10,P15924,S,2606,21,DSP
Q14161|421|S|21,10,Q14161,S,421,21,GIT2
Q9UKV3|481|S|21,10,Q9UKV3,S,481,21,ACIN1
