name,LeidenCluster,UniAcc,RES,POS,UniModID,Gene
Q9P275|610|S|21,39,Q9P275,S,610,21,USP36
Q13191|479|T|21,39,Q13191,T,479,21,CBLB
Q9BQ39|41|S|21,39,Q9BQ39,S,41,21,DDX50
Q02952|648|S|21,39,Q02952,S,648,21,AKAP12
Q9P275|611|S|21,39,Q9P275,S,611,21,USP36
Q12888|1056|T|21,39,Q12888,T,1056,21,TP53BP1
Q8IU81|453|S|21,39,Q8IU81,S,453,21,IRF2BP1
Q13191|483|S|21,39,Q13191,S,483,21,CBLB
Q9P275|608|R|7,39,Q9P275,R,608,7,USP36
Q02880|1548|K|53,39,Q02880,K,1548,53,TOP2B
Q15910|487|T|21,39,Q15910,T,487,21,EZH2
Q9BW71|104|S|21,39,Q9BW71,S,104,21,HIRIP3
P18858|183|T|21,39,P18858,T,183,21,LIG1
Q9P275|607|R|7,39,Q9P275,R,607,7,USP36
P18858|182|T|21,39,P18858,T,182,21,LIG1
Q9P275|613|S|21,39,Q9P275,S,613,21,USP36
Q8TCJ2|505|R|7,39,Q8TCJ2,R,505,7,STT3B
Q7Z4S6|1271|S|21,39,Q7Z4S6,S,1271,21,KIF21A
Q9BQ39|48|R|7,39,Q9BQ39,R,48,7,DDX50
Q9BQ39|45|S|21,39,Q9BQ39,S,45,21,DDX50
Q9BW71|98|S|21,39,Q9BW71,S,98,21,HIRIP3
Q7Z417|623|S|21,39,Q7Z417,S,623,21,NUFIP2
P49023|106|S|21,39,P49023,S,106,21,PXN
Q9Y6D5|1513|S|21,39,Q9Y6D5,S,1513,21,ARFGEF2
Q9Y6D5|1509|R|7,39,Q9Y6D5,R,1509,7,ARFGEF2
Q02952|645|S|21,39,Q02952,S,645,21,AKAP12
Q15773|238|S|21,39,Q15773,S,238,21,MLF2
Q7Z4S6|1275|S|21,39,Q7Z4S6,S,1275,21,KIF21A
P16144|1455|T|21,39,P16144,T,1455,21,ITGB4
P38159|328|S|21,39,P38159,S,328,21,RBMX
Q641Q2|539|S|21,39,Q641Q2,S,539,21,WASHC2A
Q9C0C2|1617|R|7,39,Q9C0C2,R,1617,7,TNKS1BP1
Q9BW71|102|S|21,39,Q9BW71,S,102,21,HIRIP3
Q01484|907|S|21,39,Q01484,S,907,21,ANK2
Q9NYB9|183|S|21,39,Q9NYB9,S,183,21,ABI2
P24928|1906|S|21,39,P24928,S,1906,21,POLR2A
Q9Y6D5|1511|S|21,39,Q9Y6D5,S,1511,21,ARFGEF2
P24928|1892|S|21,39,P24928,S,1892,21,POLR2A
Q9Y6D5|1514|S|21,39,Q9Y6D5,S,1514,21,ARFGEF2
Q01826|633|S|21,39,Q01826,S,633,21,SATB1
Q9P275|612|S|21,39,Q9P275,S,612,21,USP36
O15438|912|S|21,39,O15438,S,912,21,ABCC3
Q9ULU4|406|S|21,39,Q9ULU4,S,406,21,ZMYND8
P35658|670|T|21,39,P35658,T,670,21,NUP214
P24928|1896|S|21,39,P24928,S,1896,21,POLR2A
P24928|1903|T|21,39,P24928,T,1903,21,POLR2A
Q02952|644|S|21,39,Q02952,S,644,21,AKAP12
Q86W92|40|S|21,39,Q86W92,S,40,21,PPFIBP1
Q9Y3X0|385|T|21,39,Q9Y3X0,T,385,21,CCDC9
Q5VT52|769|S|21,39,Q5VT52,S,769,21,RPRD2
Q9C0C2|1616|S|21,39,Q9C0C2,S,1616,21,TNKS1BP1
O76021|358|T|21,39,O76021,T,358,21,RSL1D1
