name,LeidenCluster,UniAcc,RES,POS,UniModID,Gene
P21333|936|K|34,20,P21333,K,936,34,FLNA
P08238|491|K|34,20,P08238,K,491,34,HSP90AB1
P00338|14|K|34,20,P00338,K,14,34,LDHA
Q99879|35|K|34,20,Q99879,K,35,34,H2BC14
P68371|379|K|34,20,P68371,K,379,34,TUBB4B
P09874|747|K|34,20,P09874,K,747,34,PARP1
Q13151|154|K|34,20,Q13151,K,154,34,HNRNPA0
Q6JBY9|120|S|21,20,Q6JBY9,S,120,21,RCSD1
P06744|194|K|34,20,P06744,K,194,34,GPI
P39023|312|K|34,20,P39023,K,312,34,RPL3
P60174|113|K|34,20,P60174,K,113,34,TPI1
P02545|233|K|34,20,P02545,K,233,34,LMNA
P34932|124|K|34,20,P34932,K,124,34,HSPA4
P40429|114|K|34,20,P40429,K,114,34,RPL13A
P05783|370|K|34,20,P05783,K,370,34,KRT18
Q13523|131|S|21,20,Q13523,S,131,21,PRP4K
P01834|76|K|34,20,P01834,K,76,34,IGKC
P35579|606|K|34,20,P35579,K,606,34,MYH9
P12956|539|K|34,20,P12956,K,539,34,XRCC6
P52272|667|K|34,20,P52272,K,667,34,HNRNPM
P40926|74|K|34,20,P40926,K,74,34,MDH2
P23528|92|K|34,20,P23528,K,92,34,CFL1
P07900|292|K|34,20,P07900,K,292,34,HSP90AA1
P08238|623|K|34,20,P08238,K,623,34,HSP90AB1
Q13451|452|K|34,20,Q13451,K,452,34,FKBP5
P34932|102|K|34,20,P34932,K,102,34,HSPA4
P00558|131|K|34,20,P00558,K,131,34,PGK1
P18124|212|K|34,20,P18124,K,212,34,RPL7
A0FGR8|738|S|21,20,A0FGR8,S,738,21,ESYT2
P15531|56|K|34,20,P15531,K,56,34,NME1
P09874|467|K|34,20,P09874,K,467,34,PARP1
P35579|419|K|34,20,P35579,K,419,34,MYH9
P11142|126|K|34,20,P11142,K,126,34,HSPA8
P00367|162|K|34,20,P00367,K,162,34,GLUD1
P41250|615|K|34,20,P41250,K,615,34,GARS1
P33991|439|K|34,20,P33991,K,439,34,MCM4
P60842|309|K|34,20,P60842,K,309,34,EIF4A1
P05388|26|K|34,20,P05388,K,26,34,RPLP0
P78527|3372|K|34,20,P78527,K,3372,34,PRKDC
P22626|46|K|34,20,P22626,K,46,34,HNRNPA2B1
P54577|391|K|34,20,P54577,K,391,34,YARS1
P51148|180|K|34,20,P51148,K,180,34,RAB5C
P27797|87|K|34,20,P27797,K,87,34,CALR
P11021|213|K|34,20,P11021,K,213,34,HSPA5
P25786|30|K|34,20,P25786,K,30,34,PSMA1
P05386|49|K|34,20,P05386,K,49,34,RPLP1
P15880|142|K|34,20,P15880,K,142,34,RPS2
P06576|480|K|34,20,P06576,K,480,34,ATP5F1B
P07339|222|K|34,20,P07339,K,222,34,CTSD
P07237|326|K|34,20,P07237,K,326,34,P4HB
Q9NQR4|123|K|34,20,Q9NQR4,K,123,34,NIT2
Q9UQ80|311|K|34,20,Q9UQ80,K,311,34,PA2G4
P30046|87|K|34,20,P30046,K,87,34,DDT
P40926|45|K|34,20,P40926,K,45,34,MDH2
P27824|182|K|34,20,P27824,K,182,34,CANX
P07355|324|K|34,20,P07355,K,324,34,ANXA2
P15880|275|K|34,20,P15880,K,275,34,RPS2
P42126|283|K|34,20,P42126,K,283,34,ECI1
P02042|66|K|34,20,P02042,K,66,34,HBD
P40926|269|K|34,20,P40926,K,269,34,MDH2
P61978|456|K|34,20,P61978,K,456,34,HNRNPK
P55145|62|K|34,20,P55145,K,62,34,MANF
P25705|103|K|34,20,P25705,K,103,34,ATP5F1A
P38646|234|K|34,20,P38646,K,234,34,HSPA9
Q99714|212|K|34,20,Q99714,K,212,34,HSD17B10
P24752|66|K|34,20,P24752,K,66,34,ACAT1
P07237|230|K|34,20,P07237,K,230,34,P4HB
Q9BUF5|350|K|34,20,Q9BUF5,K,350,34,TUBB6
Q8IY81|678|K|34,20,Q8IY81,K,678,34,FTSJ3
Q15365|70|K|34,20,Q15365,K,70,34,PCBP1
P43243|245|K|34,20,P43243,K,245,34,MATR3
P55072|502|K|34,20,P55072,K,502,34,VCP
P17980|144|K|34,20,P17980,K,144,34,PSMC3
Q04917|28|K|34,20,Q04917,K,28,34,YWHAH
P55072|45|K|34,20,P55072,K,45,34,VCP
P34931|128|K|34,20,P34931,K,128,34,HSPA1L
Q9Y4L1|463|K|34,20,Q9Y4L1,K,463,34,HYOU1
Q06830|35|K|34,20,Q06830,K,35,34,PRDX1
Q02790|354|K|34,20,Q02790,K,354,34,FKBP4
Q32P51|113|K|34,20,Q32P51,K,113,34,HNRNPA1L2
P07900|224|K|34,20,P07900,K,224,34,HSP90AA1
P07900|478|K|34,20,P07900,K,478,34,HSP90AA1
Q99729|118|K|34,20,Q99729,K,118,34,HNRNPAB
Q562R1|192|K|34,20,Q562R1,K,192,34,ACTBL2
P60660|98|K|34,20,P60660,K,98,34,MYL6
P31040|128|K|34,20,P31040,K,128,34,SDHA
P49368|248|K|34,20,P49368,K,248,34,CCT3
P78371|342|K|34,20,P78371,K,342,34,CCT2
Q16836|202|K|34,20,Q16836,K,202,34,HADH
P07900|327|K|34,20,P07900,K,327,34,HSP90AA1
P15259|176|K|34,20,P15259,K,176,34,PGAM2
P19338|467|K|34,20,P19338,K,467,34,NCL
P14618|186|K|34,20,P14618,K,186,34,PKM
P14618|422|K|34,20,P14618,K,422,34,PKM
