name,LeidenCluster,UniAcc,RES,POS,UniModID,Gene
P22059|386|S|21,21,P22059,S,386,21,OSBP
Q9P0P8|116|S|21,21,Q9P0P8,S,116,21,MTRES1
Q9P258|51|S|21,21,Q9P258,S,51,21,RCC2
Q9P2I0|419|S|21,21,Q9P2I0,S,419,21,CPSF2
Q8IY81|336|S|21,21,Q8IY81,S,336,21,FTSJ3
P41212|16|S|21,21,P41212,S,16,21,ETV6
P41212|17|Y|21,21,P41212,Y,17,21,ETV6
Q13247|295|S|21,21,Q13247,S,295,21,SRSF6
Q8IWA0|779|S|21,21,Q8IWA0,S,779,21,WDR75
P22059|382|S|21,21,P22059,S,382,21,OSBP
Q86UP2|75|S|21,21,Q86UP2,S,75,21,KTN1
Q96GY3|135|S|21,21,Q96GY3,S,135,21,LIN37
Q14814|98|S|21,21,Q14814,S,98,21,MEF2D
Q13769|314|S|21,21,Q13769,S,314,21,THOC5
P55209|10|S|21,21,P55209,S,10,21,NAP1L1
Q9BW71|227|S|21,21,Q9BW71,S,227,21,HIRIP3
Q9Y6X4|374|R|7,21,Q9Y6X4,R,374,7,FAM169A
P17812|568|S|21,21,P17812,S,568,21,CTPS1
Q9H1E3|132|S|21,21,Q9H1E3,S,132,21,NUCKS1
O14647|1369|S|21,21,O14647,S,1369,21,CHD2
Q8IY81|333|S|21,21,Q8IY81,S,333,21,FTSJ3
O14647|1364|S|21,21,O14647,S,1364,21,CHD2
Q9Y6X4|378|S|21,21,Q9Y6X4,S,378,21,FAM169A
Q9Y6X4|376|S|21,21,Q9Y6X4,S,376,21,FAM169A
Q8IY81|335|S|21,21,Q8IY81,S,335,21,FTSJ3
Q9P2I0|420|S|21,21,Q9P2I0,S,420,21,CPSF2
P19338|34|S|21,21,P19338,S,34,21,NCL
Q86YS7|662|S|21,21,Q86YS7,S,662,21,C2CD5
Q96ST2|398|S|21,21,Q96ST2,S,398,21,IWS1
Q9P258|45|S|21,21,Q9P258,S,45,21,RCC2
Q86WB0|58|S|21,21,Q86WB0,S,58,21,ZC3HC1
P51003|534|S|21,21,P51003,S,534,21,PAPOLA
Q14683|951|S|21,21,Q14683,S,951,21,SMC1A
P55081|132|S|21,21,P55081,S,132,21,MFAP1
Q9H1E3|130|S|21,21,Q9H1E3,S,130,21,NUCKS1
Q96GY3|137|S|21,21,Q96GY3,S,137,21,LIN37
Q12874|365|S|21,21,Q12874,S,365,21,SF3A3
Q9NU22|4898|T|21,21,Q9NU22,T,4898,21,MDN1
Q8IWA0|782|S|21,21,Q8IWA0,S,782,21,WDR75
Q86WB0|56|S|21,21,Q86WB0,S,56,21,ZC3HC1
Q13501|288|S|21,21,Q13501,S,288,21,SQSTM1
P13861|80|S|21,21,P13861,S,80,21,PRKAR2A
O60551|70|S|21,21,O60551,S,70,21,NMT2
Q9P258|43|S|21,21,Q9P258,S,43,21,RCC2
Q9P2I0|423|S|21,21,Q9P2I0,S,423,21,CPSF2
Q9P258|46|S|21,21,Q9P258,S,46,21,RCC2
Q9NY61|316|S|21,21,Q9NY61,S,316,21,AATF
Q5T3I0|130|S|21,21,Q5T3I0,S,130,21,GPATCH4
Q13247|301|S|21,21,Q13247,S,301,21,SRSF6
P63104|28|S|21,21,P63104,S,28,21,YWHAZ
P04083|182|S|21,21,P04083,S,182,21,ANXA1
Q14814|106|S|21,21,Q14814,S,106,21,MEF2D
O14647|1365|S|21,21,O14647,S,1365,21,CHD2
Q16513|958|T|21,21,Q16513,T,958,21,PKN2
Q96ST2|400|S|21,21,Q96ST2,S,400,21,IWS1
Q13442|60|S|21,21,Q13442,S,60,21,PDAP1
O60271|190|S|21,21,O60271,S,190,21,SPAG9
Q9Y3L3|262|S|21,21,Q9Y3L3,S,262,21,SH3BP1
Q9H6S0|1090|S|21,21,Q9H6S0,S,1090,21,YTHDC2
Q96D71|709|S|21,21,Q96D71,S,709,21,REPS1
Q13442|63|S|21,21,Q13442,S,63,21,PDAP1
Q8NAV1|193|S|21,21,Q8NAV1,S,193,21,PRPF38A
P22059|379|S|21,21,P22059,S,379,21,OSBP
P06733|157|S|23,21,P06733,S,157,23,ENO1
Q9NY61|321|S|21,21,Q9NY61,S,321,21,AATF
Q96GY3|138|S|21,21,Q96GY3,S,138,21,LIN37
Q13247|297|S|21,21,Q13247,S,297,21,SRSF6
Q12874|367|S|21,21,Q12874,S,367,21,SF3A3
Q9P0P8|110|S|21,21,Q9P0P8,S,110,21,MTRES1
O60551|68|S|21,21,O60551,S,68,21,NMT2
P27797|214|S|21,21,P27797,S,214,21,CALR
P19338|42|S|21,21,P19338,S,42,21,NCL
Q13769|312|S|21,21,Q13769,S,312,21,THOC5
P55081|133|S|21,21,P55081,S,133,21,MFAP1
Q13247|299|S|21,21,Q13247,S,299,21,SRSF6
Q8NAV1|194|S|21,21,Q8NAV1,S,194,21,PRPF38A
Q9P0P8|106|S|21,21,Q9P0P8,S,106,21,MTRES1
Q05655|506|S|21,21,Q05655,S,506,21,PRKCD
Q13555|395|K|37,21,Q13555,K,395,37,CAMK2G
Q9Y6X4|379|S|21,21,Q9Y6X4,S,379,21,FAM169A
Q9H1E3|113|S|21,21,Q9H1E3,S,113,21,NUCKS1
Q12874|369|S|21,21,Q12874,S,369,21,SF3A3
P49327|2156|S|21,21,P49327,S,2156,21,FASN
Q9P258|50|S|21,21,Q9P258,S,50,21,RCC2
Q86YS7|661|S|21,21,Q86YS7,S,661,21,C2CD5
Q9NY61|320|S|21,21,Q9NY61,S,320,21,AATF
Q5T3I0|128|S|21,21,Q5T3I0,S,128,21,GPATCH4
Q9BW71|223|S|21,21,Q9BW71,S,223,21,HIRIP3
P19338|41|S|21,21,P19338,S,41,21,NCL
P13861|78|S|21,21,P13861,S,78,21,PRKAR2A
Q9P258|44|S|21,21,Q9P258,S,44,21,RCC2
P22059|385|S|21,21,P22059,S,385,21,OSBP
P19338|28|S|21,21,P19338,S,28,21,NCL
