name,LeidenCluster,UniAcc,RES,POS,UniModID,Gene
P68133|52|K|1,12,P68133,K,52,1,ACTA1
P11142|236|R|7,12,P11142,R,236,7,HSPA8
P07197|42|R|36,12,P07197,R,42,36,NEFM
Q562R1|255|R|7,12,Q562R1,R,255,7,ACTBL2
O00459|605|Y|21,12,O00459,Y,605,21,PIK3R2
Q05655|306|S|21,12,Q05655,S,306,21,PRKCD
P02686|183|R|7,12,P02686,R,183,7,MBP
O75508|198|S|21,12,O75508,S,198,21,CLDN11
P14618|106|R|7,12,P14618,R,106,7,PKM
P24844|20|S|21,12,P24844,S,20,21,MYL9
O14936|600|S|21,12,O14936,S,600,21,CASK
Q05397|576|Y|21,12,Q05397,Y,576,21,PTK2
Q5TEC6|59|T|23,12,Q5TEC6,T,59,23,H3
P29350|534|S|21,12,P29350,S,534,21,PTPN6
Q05655|313|Y|21,12,Q05655,Y,313,21,PRKCD
P00533|1172|Y|21,12,P00533,Y,1172,21,EGFR
P07197|42|R|34,12,P07197,R,42,34,NEFM
P16402|35|K|1,12,P16402,K,35,1,H1
P09651|347|Y|21,12,P09651,Y,347,21,HNRNPA1
Q9H422|359|Y|21,12,Q9H422,Y,359,21,HIPK3
P04406|234|R|7,12,P04406,R,234,7,GAPDH
P60709|198|Y|21,12,P60709,Y,198,21,ACTB
Q9Y4H2|823|Y|21,12,Q9Y4H2,Y,823,21,IRS2
Q05655|334|Y|21,12,Q05655,Y,334,21,PRKCD
Q16539|180|T|21,12,Q16539,T,180,21,MAPK14
Q9NRY4|1105|Y|21,12,Q9NRY4,Y,1105,21,ARHGAP35
Q13813|1032|R|7,12,Q13813,R,1032,7,SPTAN1
O14936|602|S|21,12,O14936,S,602,21,CASK
P12036|776|S|21,12,P12036,S,776,21,NEFH
P07910|189|K|1,12,P07910,K,189,1,HNRNPC
P53999|11|S|21,12,P53999,S,11,21,SUB1
P53999|9|S|21,12,P53999,S,9,21,SUB1
P14136|12|R|7,12,P14136,R,12,7,GFAP
P04075|246|H|53,12,P04075,H,246,53,ALDOA
P09543|235|K|1,12,P09543,K,235,1,CNP
P14136|79|R|7,12,P14136,R,79,7,GFAP
Q8IZP0|213|Y|21,12,Q8IZP0,Y,213,21,ABI1
P16401|37|K|1,12,P16401,K,37,1,H1
P29353|426|S|21,12,P29353,S,426,21,SHC1
P29353|427|Y|21,12,P29353,Y,427,21,SHC1
P02794|13|Y|23,12,P02794,Y,13,23,FTH1
P29317|593|T|21,12,P29317,T,593,21,EPHA2
Q9UPS8|296|Y|21,12,Q9UPS8,Y,296,21,ANKRD26
P07910|30|K|1,12,P07910,K,30,1,HNRNPC
P00533|693|T|21,12,P00533,T,693,21,EGFR
P09651|206|R|34,12,P09651,R,206,34,HNRNPA1
P09651|206|R|36,12,P09651,R,206,36,HNRNPA1
O00401|256|Y|21,12,O00401,Y,256,21,WASL
P29317|594|Y|21,12,P29317,Y,594,21,EPHA2
P56945|387|Y|21,12,P56945,Y,387,21,BCAR1
P16401|74|Y|21,12,P16401,Y,74,21,H1
P29317|772|Y|21,12,P29317,Y,772,21,EPHA2
Q04760|3|E|299,12,Q04760,E,3,299,GLO1
O75508|197|S|21,12,O75508,S,197,21,CLDN11
P24941|14|T|21,12,P24941,T,14,21,CDK2
P07355|236|S|21,12,P07355,S,236,21,ANXA2
P53801|174|Y|21,12,P53801,Y,174,21,PTTG1IP
P06493|15|Y|21,12,P06493,Y,15,21,CDK1
P24941|15|Y|21,12,P24941,Y,15,21,CDK2
P63104|145|S|21,12,P63104,S,145,21,YWHAZ
P53999|10|S|21,12,P53999,S,10,21,SUB1
P53999|12|S|21,12,P53999,S,12,21,SUB1
P68133|320|T|21,12,P68133,T,320,21,ACTA1
P68133|52|K|299,12,P68133,K,52,299,ACTA1
P60709|199|S|23,12,P60709,S,199,23,ACTB
P02686|231|R|7,12,P02686,R,231,7,MBP
P07900|620|R|7,12,P07900,R,620,7,HSP90AA1
Q05655|304|S|21,12,Q05655,S,304,21,PRKCD
P09651|337|S|21,12,P09651,S,337,21,HNRNPA1
Q5T8P6|123|R|7,12,Q5T8P6,R,123,7,RBM26
P06239|394|Y|21,12,P06239,Y,394,21,LCK
Q86X29|551|Y|21,12,Q86X29,Y,551,21,LSR
P08195|46|K|535,12,P08195,K,46,535,SLC3A2
P07355|318|Y|21,12,P07355,Y,318,21,ANXA2
P09651|338|S|21,12,P09651,S,338,21,HNRNPA1
Q96A22|103|Y|21,12,Q96A22,Y,103,21,C11orf52
Q9UHR4|274|Y|21,12,Q9UHR4,Y,274,21,BAIAP2L1
P15259|92|Y|21,12,P15259,Y,92,21,PGAM2
Q5T4S7|2724|T|21,12,Q5T4S7,T,2724,21,UBR4
Q14CZ8|298|R|7,12,Q14CZ8,R,298,7,HEPACAM
P07197|736|S|21,12,P07197,S,736,21,NEFM
P07355|24|Y|21,12,P07355,Y,24,21,ANXA2
Q9H5V8|707|Y|21,12,Q9H5V8,Y,707,21,CDCP1
Q8WVV4|98|S|21,12,Q8WVV4,S,98,21,POF1B
O75363|482|T|21,12,O75363,T,482,21,BCAS1
P14136|416|R|7,12,P14136,R,416,7,GFAP
Q16539|182|Y|21,12,Q16539,Y,182,21,MAPK14
P07195|310|K|1,12,P07195,K,310,1,LDHB
P06748|67|Y|21,12,P06748,Y,67,21,NPM1
P49916|242|S|21,12,P49916,S,242,21,LIG3
Q05655|307|S|21,12,Q05655,S,307,21,PRKCD
P29317|588|Y|21,12,P29317,Y,588,21,EPHA2
P63104|30|T|21,12,P63104,T,30,21,YWHAZ
P06493|14|T|21,12,P06493,T,14,21,CDK1
P29350|536|Y|21,12,P29350,Y,536,21,PTPN6
P22626|225|S|21,12,P22626,S,225,21,HNRNPA2B1
P51991|26|H|53,12,P51991,H,26,53,HNRNPA3
P28482|187|Y|21,12,P28482,Y,187,21,MAPK1
P49736|25|T|21,12,P49736,T,25,21,MCM2
P08670|424|R|7,12,P08670,R,424,7,VIM
P53985|466|T|21,12,P53985,T,466,21,SLC16A1
P27361|204|Y|21,12,P27361,Y,204,21,MAPK3
P29350|557|S|21,12,P29350,S,557,21,PTPN6
Q93052|317|Y|21,12,Q93052,Y,317,21,LPP
P27824|371|R|7,12,P27824,R,371,7,CANX
Q14247|446|Y|21,12,Q14247,Y,446,21,CTTN
Q05397|575|T|21,12,Q05397,T,575,21,PTK2
Q05639|29|Y|21,12,Q05639,Y,29,21,EEF1A2
P29350|564|Y|21,12,P29350,Y,564,21,PTPN6
P04406|75|T|21,12,P04406,T,75,21,GAPDH
P49023|88|Y|21,12,P49023,Y,88,21,PXN
P09543|68|R|7,12,P09543,R,68,7,CNP
P14136|173|R|7,12,P14136,R,173,7,GFAP
Q01082|1307|R|7,12,Q01082,R,1307,7,SPTBN1
P68366|271|T|23,12,P68366,T,271,23,TUBA4A
Q5VTE0|166|R|7,12,Q5VTE0,R,166,7,EEF1A1P5
O95832|210|Y|21,12,O95832,Y,210,21,CLDN1
P09543|93|R|7,12,P09543,R,93,7,CNP
Q9NYF8|272|S|21,12,Q9NYF8,S,272,21,BCLAF1
P07197|831|T|21,12,P07197,T,831,21,NEFM
P50238|12|Y|21,12,P50238,Y,12,21,CRIP1
Q9BYX7|362|Y|21,12,Q9BYX7,Y,362,21,POTEKP
