name,LeidenCluster,UniAcc,RES,POS,UniModID,Gene
P21333|2484|R|7,2,P21333,R,2484,7,FLNA
P21333|2395|R|7,2,P21333,R,2395,7,FLNA
P22626|203|R|36,2,P22626,R,203,36,HNRNPA2B1
Q8TCU6|1195|S|21,2,Q8TCU6,S,1195,21,PREX1
Q9UQ35|346|S|21,2,Q9UQ35,S,346,21,SRRM2
Q16186|34|K|535,2,Q16186,K,34,535,ADRM1
P46937|106|R|7,2,P46937,R,106,7,YAP1
P07355|47|K|34,2,P07355,K,47,34,ANXA2
P62328|4|K|34,2,P62328,K,4,34,TMSB4X
P24539|142|S|23,2,P24539,S,142,23,ATP5PB
P18621|139|Y|23,2,P18621,Y,139,23,RPL17
Q9BYX7|362|Y|23,2,Q9BYX7,Y,362,23,POTEKP
P14866|302|K|53,2,P14866,K,302,53,HNRNPL
P07737|129|Y|23,2,P07737,Y,129,23,PFN1
Q96T37|257|S|21,2,Q96T37,S,257,21,RBM15
P22694|202|T|21,2,P22694,T,202,21,PRKACB
P36578|52|Y|23,2,P36578,Y,52,23,RPL4
Q9H361|571|T|23,2,Q9H361,T,571,23,PABPC3
P02545|471|R|7,2,P02545,R,471,7,LMNA
Q9UPQ0|229|R|7,2,Q9UPQ0,R,229,7,LIMCH1
Q12756|1528|S|21,2,Q12756,S,1528,21,KIF1A
Q96S55|232|R|7,2,Q96S55,R,232,7,WRNIP1
Q9UQ35|1232|S|21,2,Q9UQ35,S,1232,21,SRRM2
P62979|29|K|535,2,P62979,K,29,535,RPS27A
P60201|107|T|23,2,P60201,T,107,23,PLP1
P21359|864|S|21,2,P21359,S,864,21,NF1
Q9C0C2|1158|S|21,2,Q9C0C2,S,1158,21,TNKS1BP1
Q15366|188|S|21,2,Q15366,S,188,21,PCBP2
Q9Y2V2|32|S|21,2,Q9Y2V2,S,32,21,CARHSP1
Q5BKZ1|116|R|7,2,Q5BKZ1,R,116,7,ZNF326
P62979|65|S|23,2,P62979,S,65,23,RPS27A
Q01518|29|R|7,2,Q01518,R,29,7,CAP1
P19338|589|K|34,2,P19338,K,589,34,NCL
P02686|199|R|7,2,P02686,R,199,7,MBP
Q96EI5|142|K|535,2,Q96EI5,K,142,535,TCEAL4
P80723|164|S|23,2,P80723,S,164,23,BASP1
P62979|11|K|535,2,P62979,K,11,535,RPS27A
P08670|196|R|7,2,P08670,R,196,7,VIM
P62258|233|S|21,2,P62258,S,233,21,YWHAE
P60201|111|K|64,2,P60201,K,111,64,PLP1
P08195|21|K|535,2,P08195,K,21,535,SLC3A2
Q92777|428|R|7,2,Q92777,R,428,7,SYN2
P19338|580|S|21,2,P19338,S,580,21,NCL
P54252|265|S|21,2,P54252,S,265,21,ATXN3
Q5BKZ1|57|Y|21,2,Q5BKZ1,Y,57,21,ZNF326
P22626|244|Y|21,2,P22626,Y,244,21,HNRNPA2B1
Q15717|85|R|7,2,Q15717,R,85,7,ELAVL1
P11021|585|K|37,2,P11021,K,585,37,HSPA5
Q9UQ35|398|S|21,2,Q9UQ35,S,398,21,SRRM2
Q9BW71|159|S|21,2,Q9BW71,S,159,21,HIRIP3
P05783|207|K|34,2,P05783,K,207,34,KRT18
P13987|80|R|7,2,P13987,R,80,7,CD59
P13639|407|K|34,2,P13639,K,407,34,EEF2
P47914|5|K|34,2,P47914,K,5,34,RPL29
P62979|6|K|535,2,P62979,K,6,535,RPS27A
O95817|173|S|21,2,O95817,S,173,21,BAG3
Q53F19|415|S|21,2,Q53F19,S,415,21,NCBP3
P02686|177|R|7,2,P02686,R,177,7,MBP
P05109|36|K|34,2,P05109,K,36,34,S100A8
Q9UNZ2|114|S|21,2,Q9UNZ2,S,114,21,NSFL1C
P08670|325|S|21,2,P08670,S,325,21,VIM
P62979|57|S|23,2,P62979,S,57,23,RPS27A
P42765|216|T|23,2,P42765,T,216,23,ACAA2
Q13283|19|Y|23,2,Q13283,Y,19,23,G3BP1
P02675|395|R|7,2,P02675,R,395,7,FGB
Q562R1|329|K|34,2,Q562R1,K,329,34,ACTBL2
Q9BW71|160|S|21,2,Q9BW71,S,160,21,HIRIP3
P22626|213|R|34,2,P22626,R,213,34,HNRNPA2B1
P16435|438|R|7,2,P16435,R,438,7,POR
Q9GZV5|89|S|21,2,Q9GZV5,S,89,21,WWTR1
P11021|585|K|34,2,P11021,K,585,34,HSPA5
O95429|237|R|7,2,O95429,R,237,7,BAG4
P61626|68|R|7,2,P61626,R,68,7,LYZ
P02686|241|R|36,2,P02686,R,241,36,MBP
Q96A08|118|K|1,2,Q96A08,K,118,1,H2BC1
P11142|425|T|23,2,P11142,T,425,23,HSPA8
P14317|333|T|23,2,P14317,T,333,23,HCLS1
P02545|12|S|21,2,P02545,S,12,21,LMNA
P31943|233|R|36,2,P31943,R,233,36,HNRNPH1
Q5TEC6|10|K|37,2,Q5TEC6,K,10,37,H3
P01009|337|S|23,2,P01009,S,337,23,SERPINA1
P07355|184|S|23,2,P07355,S,184,23,ANXA2
P62979|147|T|21,2,P62979,T,147,21,RPS27A
P51991|286|R|34,2,P51991,R,286,34,HNRNPA3
P01591|69|R|7,2,P01591,R,69,7,JCHAIN
P22626|244|Y|23,2,P22626,Y,244,23,HNRNPA2B1
Q15149|2099|K|1,2,Q15149,K,2099,1,PLEC
P55795|233|R|36,2,P55795,R,233,36,HNRNPH2
Q96JM3|297|S|21,2,Q96JM3,S,297,21,CHAMP1
P62753|46|K|53,2,P62753,K,46,53,RPS6
P11142|524|K|535,2,P11142,K,524,535,HSPA8
