name,LeidenCluster,UniAcc,RES,POS,UniModID,Gene
P09429|43|K|34,4,P09429,K,43,34,HMGB1
P07355|28|K|34,4,P07355,K,28,34,ANXA2
P01834|19|K|34,4,P01834,K,19,34,IGKC
P32119|26|K|34,4,P32119,K,26,34,PRDX2
Q9NY65|370|K|34,4,Q9NY65,K,370,34,TUBA8
P51149|126|K|34,4,P51149,K,126,34,RAB7A
P13639|785|K|34,4,P13639,K,785,34,EEF2
P14618|151|K|34,4,P14618,K,151,34,PKM
P69905|61|K|34,4,P69905,K,61,34,HBA1
P25705|316|K|34,4,P25705,K,316,34,ATP5F1A
P38646|173|K|34,4,P38646,K,173,34,HSPA9
P07197|391|K|34,4,P07197,K,391,34,NEFM
P84085|127|K|34,4,P84085,K,127,34,ARF5
P49327|1866|K|34,4,P49327,K,1866,34,FASN
O95831|337|K|34,4,O95831,K,337,34,AIFM1
P30040|137|K|34,4,P30040,K,137,34,ERP29
P22061|197|K|34,4,P22061,K,197,34,PCMT1
P00338|224|K|34,4,P00338,K,224,34,LDHA
P14618|89|K|34,4,P14618,K,89,34,PKM
Q16181|195|K|34,4,Q16181,K,195,34,SEPTIN7
P05387|61|K|34,4,P05387,K,61,34,RPLP2
P83731|93|K|34,4,P83731,K,93,34,RPL24
P38646|555|K|34,4,P38646,K,555,34,HSPA9
Q9H853|35|K|34,4,Q9H853,K,35,34,TUBA4B
P53396|554|K|34,4,P53396,K,554,34,ACLY
P62979|27|K|34,4,P62979,K,27,34,RPS27A
P68133|63|K|34,4,P68133,K,63,34,ACTA1
Q02878|285|K|34,4,Q02878,K,285,34,RPL6
P02042|145|K|34,4,P02042,K,145,34,HBD
P07900|100|K|34,4,P07900,K,100,34,HSP90AA1
P02679|111|K|34,4,P02679,K,111,34,FGG
Q13509|297|K|34,4,Q13509,K,297,34,TUBB3
P61604|54|K|34,4,P61604,K,54,34,HSPE1
Q04837|81|K|34,4,Q04837,K,81,34,SSBP1
O75526|63|K|34,4,O75526,K,63,34,RBMXL2
