name,LeidenCluster,UniAcc,RES,POS,UniModID,Gene
Q9NTI5|1358|S|21,38,Q9NTI5,S,1358,21,PDS5B
Q8TDD1|41|S|21,38,Q8TDD1,S,41,21,DDX54
Q9ULU4|486|S|21,38,Q9ULU4,S,486,21,ZMYND8
P17812|571|S|21,38,P17812,S,571,21,CTPS1
Q92769|424|S|21,38,Q92769,S,424,21,HDAC2
P46937|109|S|21,38,P46937,S,109,21,YAP1
O00560|6|S|21,38,O00560,S,6,21,SDCBP
Q9UHB6|686|S|21,38,Q9UHB6,S,686,21,LIMA1
Q9BRD0|151|S|21,38,Q9BRD0,S,151,21,BUD13
Q13547|421|S|21,38,Q13547,S,421,21,HDAC1
P16144|1494|S|21,38,P16144,S,1494,21,ITGB4
Q9P206|570|S|21,38,Q9P206,S,570,21,NHSL3
Q9UPT8|1275|S|21,38,Q9UPT8,S,1275,21,ZC3H4
Q8TDD1|39|S|21,38,Q8TDD1,S,39,21,DDX54
Q9UEY8|461|S|21,38,Q9UEY8,S,461,21,ADD3
Q9UPT8|1269|S|21,38,Q9UPT8,S,1269,21,ZC3H4
Q9P206|573|S|21,38,Q9P206,S,573,21,NHSL3
Q9P206|569|S|21,38,Q9P206,S,569,21,NHSL3
Q8WWI1|704|S|21,38,Q8WWI1,S,704,21,LMO7
Q9ULU4|490|S|21,38,Q9ULU4,S,490,21,ZMYND8
Q9BW04|462|S|21,38,Q9BW04,S,462,21,SARG
Q9H4L7|239|S|21,38,Q9H4L7,S,239,21,SMARCAD1
Q9H6Z4|125|S|21,38,Q9H6Z4,S,125,21,RANBP3
O95218|153|S|21,38,O95218,S,153,21,ZRANB2
O60763|942|S|21,38,O60763,S,942,21,USO1
Q86X95|196|S|21,38,Q86X95,S,196,21,CIRSR
P17812|574|S|21,38,P17812,S,574,21,CTPS1
P17812|573|S|21,38,P17812,S,573,21,CTPS1
Q8IVT2|575|S|21,38,Q8IVT2,S,575,21,MISP
P85037|441|S|21,38,P85037,S,441,21,FOXK1
Q9H4L7|242|S|21,38,Q9H4L7,S,242,21,SMARCAD1
O43719|616|S|21,38,O43719,S,616,21,HTATSF1
P46937|105|S|21,38,P46937,S,105,21,YAP1
Q03252|405|S|21,38,Q03252,S,405,21,LMNB2
Q9UKV3|490|S|21,38,Q9UKV3,S,490,21,ACIN1
Q8TDB6|9|S|21,38,Q8TDB6,S,9,21,DTX3L
O43719|624|S|21,38,O43719,S,624,21,HTATSF1
Q8N8S7|508|S|21,38,Q8N8S7,S,508,21,ENAH
Q13547|423|S|21,38,Q13547,S,423,21,HDAC1
Q9P206|562|S|21,38,Q9P206,S,562,21,NHSL3
P49756|583|S|21,38,P49756,S,583,21,RBM25
Q9UDY2|1067|S|21,38,Q9UDY2,S,1067,21,TJP2
Q92769|422|S|21,38,Q92769,S,422,21,HDAC2
Q8NDC0|15|S|21,38,Q8NDC0,S,15,21,MAPK1IP1L
P16144|1498|S|21,38,P16144,S,1498,21,ITGB4
P26368|2|S|21,38,P26368,S,2,21,U2AF2
P17812|575|S|21,38,P17812,S,575,21,CTPS1
Q9Y266|139|S|21,38,Q9Y266,S,139,21,NUDC
Q8IXK0|621|S|21,38,Q8IXK0,S,621,21,PHC2
Q9H4Z3|116|S|21,38,Q9H4Z3,S,116,21,PCIF1
Q9ULU4|488|S|21,38,Q9ULU4,S,488,21,ZMYND8
P16144|1497|R|7,38,P16144,R,1497,7,ITGB4
P85037|445|S|21,38,P85037,S,445,21,FOXK1
P07910|260|S|21,38,P07910,S,260,21,HNRNPC
O43719|618|R|7,38,O43719,R,618,7,HTATSF1
Q9BRD0|147|T|21,38,Q9BRD0,T,147,21,BUD13
P55196|1172|S|21,38,P55196,S,1172,21,AFDN
