name,LeidenCluster,UniAcc,RES,POS,UniModID,Gene
P07197|628|S|21,14,P07197,S,628,21,NEFM
P02686|159|R|7,14,P02686,R,159,7,MBP
P07197|620|S|21,14,P07197,S,620,21,NEFM
Q9Y2J2|9|S|21,14,Q9Y2J2,S,9,21,EPB41L3
P80723|36|T|21,14,P80723,T,36,21,BASP1
Q08357|253|S|21,14,Q08357,S,253,21,SLC20A2
Q08357|259|S|21,14,Q08357,S,259,21,SLC20A2
P04406|176|T|21,14,P04406,T,176,21,GAPDH
Q96QK1|7|S|21,14,Q96QK1,S,7,21,VPS35
Q9UPA5|1477|S|21,14,Q9UPA5,S,1477,21,BSN
Q4V328|691|S|21,14,Q4V328,S,691,21,GRIPAP1
Q8TDJ6|1137|S|21,14,Q8TDJ6,S,1137,21,DMXL2
P07197|633|S|21,14,P07197,S,633,21,NEFM
P46821|1399|R|7,14,P46821,R,1399,7,MAP1B
P40123|309|S|21,14,P40123,S,309,21,CAP2
P78559|1797|S|21,14,P78559,S,1797,21,MAP1A
P17600|432|S|21,14,P17600,S,432,21,SYN1
Q8N111|87|S|21,14,Q8N111,S,87,21,CEND1
Q4V328|692|S|21,14,Q4V328,S,692,21,GRIPAP1
P40123|305|S|21,14,P40123,S,305,21,CAP2
P35611|355|S|21,14,P35611,S,355,21,ADD1
Q5TH69|1061|S|21,14,Q5TH69,S,1061,21,ARFGEF3
P35611|353|S|21,14,P35611,S,353,21,ADD1
P14136|13|S|21,14,P14136,S,13,21,GFAP
P07197|685|S|21,14,P07197,S,685,21,NEFM
Q9NYI0|1012|S|21,14,Q9NYI0,S,1012,21,PSD3
Q9H3Z4|15|S|21,14,Q9H3Z4,S,15,21,DNAJC5
P46821|1147|T|21,14,P46821,T,1147,21,MAP1B
P78559|527|S|21,14,P78559,S,527,21,MAP1A
P46821|1144|S|21,14,P46821,S,1144,21,MAP1B
O60641|306|S|21,14,O60641,S,306,21,SNAP91
P40123|303|T|21,14,P40123,T,303,21,CAP2
Q8IXJ6|368|S|21,14,Q8IXJ6,S,368,21,SIRT2
Q9BQI5|319|S|21,14,Q9BQI5,S,319,21,SGIP1
P35612|613|S|21,14,P35612,S,613,21,ADD2
