name,LeidenCluster,UniAcc,RES,POS,UniModID,Gene
Q9Y6N7|1442|S|21,27,Q9Y6N7,S,1442,21,ROBO1
Q96GE4|451|S|21,27,Q96GE4,S,451,21,CEP95
Q8WWY3|446|S|21,27,Q8WWY3,S,446,21,PRPF31
O75592|2789|S|21,27,O75592,S,2789,21,MYCBP2
P31040|98|S|21,27,P31040,S,98,21,SDHA
O43166|1565|S|21,27,O43166,S,1565,21,SIPA1L1
Q13330|576|S|21,27,Q13330,S,576,21,MTA1
Q9UHB7|176|S|21,27,Q9UHB7,S,176,21,AFF4
P08670|420|S|21,27,P08670,S,420,21,VIM
P04792|98|S|21,27,P04792,S,98,21,HSPB1
Q9UHB7|180|S|21,27,Q9UHB7,S,180,21,AFF4
Q9P206|862|S|21,27,Q9P206,S,862,21,NHSL3
P28370|116|S|21,27,P28370,S,116,21,SMARCA1
Q09666|3412|S|21,27,Q09666,S,3412,21,AHNAK
O43166|1568|S|21,27,O43166,S,1568,21,SIPA1L1
Q15172|49|S|21,27,Q15172,S,49,21,PPP2R5A
P37837|145|S|21,27,P37837,S,145,21,TALDO1
Q8WWY3|445|S|21,27,Q8WWY3,S,445,21,PRPF31
P21796|104|S|21,27,P21796,S,104,21,VDAC1
Q9UGP4|323|S|21,27,Q9UGP4,S,323,21,LIMD1
P37275|322|S|21,27,P37275,S,322,21,ZEB1
O60934|432|S|21,27,O60934,S,432,21,NBN
Q16537|38|S|21,27,Q16537,S,38,21,PPP2R5E
Q14432|523|S|21,27,Q14432,S,523,21,PDE3A
P46821|1819|S|21,27,P46821,S,1819,21,MAP1B
Q8N9M1|151|S|21,27,Q8N9M1,S,151,21,C19orf47
P05387|17|S|21,27,P05387,S,17,21,RPLP2
P19525|92|S|21,27,P19525,S,92,21,EIF2AK2
P08708|115|S|21,27,P08708,S,115,21,RPS17
Q9UGP4|327|S|21,27,Q9UGP4,S,327,21,LIMD1
Q9UPQ0|493|S|21,27,Q9UPQ0,S,493,21,LIMCH1
Q8TEW0|889|S|21,27,Q8TEW0,S,889,21,PARD3
Q13330|562|S|21,27,Q13330,S,562,21,MTA1
Q16537|32|S|21,27,Q16537,S,32,21,PPP2R5E
Q8TDD1|75|S|21,27,Q8TDD1,S,75,21,DDX54
Q8TEW0|892|S|21,27,Q8TEW0,S,892,21,PARD3
P49023|332|S|21,27,P49023,S,332,21,PXN
P04792|86|S|21,27,P04792,S,86,21,HSPB1
P46821|1816|S|21,27,P46821,S,1816,21,MAP1B
Q15172|42|S|21,27,Q15172,S,42,21,PPP2R5A
Q15149|4382|S|21,27,Q15149,S,4382,21,PLEC
Q16537|34|S|21,27,Q16537,S,34,21,PPP2R5E
P37275|313|S|21,27,P37275,S,313,21,ZEB1
P46821|1818|S|21,27,P46821,S,1818,21,MAP1B
P61073|321|S|21,27,P61073,S,321,21,CXCR4
Q15043|311|S|21,27,Q15043,S,311,21,SLC39A14
Q00839|192|S|21,27,Q00839,S,192,21,HNRNPU
P30530|612|S|21,27,P30530,S,612,21,AXL
Q15172|41|S|21,27,Q15172,S,41,21,PPP2R5A
P37837|144|S|21,27,P37837,S,144,21,TALDO1
Q13428|583|S|21,27,Q13428,S,583,21,TCOF1
Q14181|141|S|21,27,Q14181,S,141,21,POLA2
Q6Y7W6|23|S|21,27,Q6Y7W6,S,23,21,GIGYF2
Q9Y679|288|S|21,27,Q9Y679,S,288,21,AUP1
Q15942|281|S|21,27,Q15942,S,281,21,ZYX
Q00839|187|S|21,27,Q00839,S,187,21,HNRNPU
Q9BVC5|184|S|21,27,Q9BVC5,S,184,21,C2orf49
P04406|184|T|21,27,P04406,T,184,21,GAPDH
Q14432|524|S|21,27,Q14432,S,524,21,PDE3A
P49023|322|S|21,27,P49023,S,322,21,PXN
Q00839|188|S|21,27,Q00839,S,188,21,HNRNPU
Q14432|520|S|21,27,Q14432,S,520,21,PDE3A
Q16537|41|K|53,27,Q16537,K,41,53,PPP2R5E
P08708|113|S|21,27,P08708,S,113,21,RPS17
Q16537|33|S|21,27,Q16537,S,33,21,PPP2R5E
Q5SW79|838|S|21,27,Q5SW79,S,838,21,CEP170
Q8WUA4|895|T|21,27,Q8WUA4,T,895,21,GTF3C2
P28370|119|S|21,27,P28370,S,119,21,SMARCA1
Q15172|46|S|21,27,Q15172,S,46,21,PPP2R5A
P46821|1817|S|21,27,P46821,S,1817,21,MAP1B
P08670|419|S|21,27,P08670,S,419,21,VIM
Q9UHB7|178|S|21,27,Q9UHB7,S,178,21,AFF4
P04406|151|S|21,27,P04406,S,151,21,GAPDH
Q9UHB7|179|S|21,27,Q9UHB7,S,179,21,AFF4
Q13136|693|S|21,27,Q13136,S,693,21,PPFIA1
